ID taxonômico,Classificação taxonômica,nome científico,scientificNameAuthorship,taxonomicStatus,estabelecer meios,Gênero,família,ordem,classe,filo,reino,nome do conjunto de dados,parentGuid,acceptedConceptName,acceptedConceptID,tipo,título
9PLC,species,Chromolaena revoluta (Gardner) R.M.King & H.Rob.,(Gardner) R.M.King & H.Rob.,accepted,,Chromolaena DC.,Asteraceae Bercht. & J.Presl,Asterales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9NTF,,,TAXON,
FFGQ,species,"Castnia invaria Walker, 1854","Walker, 1854",accepted,,"Castnia Fabricius, 1807","Castniidae Boisduval, 1828","Lepidoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",7P4D,,,TAXON,
8N8Y,species,Pleurophora anomala (A.St.-Hil.) Koehne,(A.St.-Hil.) Koehne,accepted,,Pleurophora D.Don,Lythraceae J.St.-Hil.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",4M7R,,,TAXON,
3RV7,species,Miconia centrodesma Naudin,Naudin,accepted,,Miconia Ruiz & Pav.,Melastomataceae A.Juss.,Myrtales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",B5V5,,,TAXON,
CLM4,species,"Thalurania watertonii (Bourcier, 1847)","(Bourcier, 1847)",accepted,,"Thalurania Gould, 1848","Trochilidae Vigors, 1825","Apodiformes Peters, 1940","Aves Linnaeus, 1758","Chordata Haeckel, 1874",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",H9FS,,,TAXON,
HQLB,species,Barbacenia fulva Goethart & Henrard,Goethart & Henrard,accepted,,Barbacenia Vand.,Velloziaceae J.Agardh,Pandanales,Liliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",FCMB,,,TAXON,
C3ZY,species,"Schwarziana quadripunctata (Lepeletier, 1836)","(Lepeletier, 1836)",accepted,,"Schwarziana Moure, 1943","Apidae Latreille, 1802","Hymenoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",DKQB,,,TAXON,
B69F,species,"Naupactus navicularis Boheman, 1840","Boheman, 1840",accepted,,"Naupactus Dejean, 1821","Curculionidae Latreille, 1802","Coleoptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",HZPF,,,TAXON,
5VT8,species,Senecio brasiliensis (Spreng.) Less.,(Spreng.) Less.,accepted,,Senecio L.,Asteraceae Bercht. & J.Presl,Asterales,Magnoliopsida,Tracheophyta,Plantae,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",JB2G,,,TAXON,
G632,species,"Enchophora recurva (Olivier, 1791)","(Olivier, 1791)",accepted,,"Enchophora Spinola, 1839","Fulgoridae Stephens, 1829","Hemiptera Linnaeus, 1758","Insecta Linnaeus, 1758","Arthropoda Gravenhorst, 1843",Animalia,"Banco Taxonômico Integrado da Biodiversidade Brasileira - Flora, Funga e Fauna",9FF9,,,TAXON,
